tweet_no	tweet_text	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
16	#كورونا_الجديد   أحبتي...  قررت أن أترك تويتر لبعض الوقت، لكن وجدت أنه من الأمانة أن أطلعكم على الصورة الحقيقية من مكان الحدث!  المنطقة التي أعمل بها هي أكبر منطقة منكوبة في فرنسا Grand Est  مستشفى كولمار  هو أكبر مستشفى مستقبل لحالات كورونا  تحول المستشفى بالكامل إلى منطقة عزل! URL	yes	no	yes	yes	yes	yes	yes
17	أهالي #طنجة في الشمال المغربي يرتقون أسطح بيوتهم يجأرون إلى الله بالتكبير والتهليل والدعاء عسى الله أن يرفع الوباء ويزيل الغمة   #كورونا  #المغرب URL	yes	no		no	no	no	no
18	خادم الحرمين الشريفين يصدر أمره بمنع التجول للحد من انتشار فيروس كورونا الجديد ابتداءً من الساعة السابعة مساءً وحتى الساعة السادسة صباحاً لمدة 21 يوماً من مساء يوم الاثنين 28 رجب 23 مارس. URL	yes	no	yes	no	no	no	no
19	تم اليوم بحمد الله شفاء 9 حالات من المصابين بفيروس كورونا المستجد، ليصبح عدد المتعافين 39 حالة. كتب الله الشفاء العاجل للبقية وحمى الجميع من كل شر.	yes	no	yes	no	no	no	no
20	#الصحة تعلن عن تسجيل(٧٠)حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد ١٩) كالتالي: - تسجيل(١١)حالة قادمة من كل من المغرب، الهند، الأردن، الفلبين، بريطانيا، الإمارات، سويسرا، وقد تم عزلها مباشرة من المطار إلى الضيافة في العزل الصحي، الذي أثبت فاعليته في التصدي لنقل العدوى داخليًا.	yes	no	yes	no	no	no	no
21	الإمارات أعلنت منذ قليل عن حالتي وفاة بفيروس #كورونا بعد الإعلان غرد وزير الصحة الكويتي د.باسل الصباح بـ (أستحلفكم بالله البقاء في منازلكم) ثم غرد وزير الصحة السعودي توفيق الربيعة بـ (هام، ساهم في أمن بلدنا الصحي بالجلوس في بيتك) - لا أظنها رسائل توعوية روتينية -	yes	no	yes	no	no	no	no
22	مركز الملك عبدالله العالمي للابحاث الطبية في الحرس الوطني الذي يملك٧٠عالم ابحاث منهم٥٠ عالم سعودي ويحملون الدكتوراه في طور تجارب لقاح ضد كورونا الجديد بالاستفاده من لقاح كورونا السابق واثبت نجاحه علي الحيوانات ومن ضمن التجارب علي الابل واثبت قوة المناعه ضد الفيروس وفى طور التجارب URL	yes	yes	yes	yes	yes	yes	yes
23	وجهة نظر أتحمل مسئوليتها أثبت #كورونا خطأ تخصيص قطاعي (التعليم والصحة) على وجه الخصوص أتمنى من الدولة إبقاء هذين القطاعين تحت مسئوليتها المباشرة تصوروا لو أن  عقولناوصحتنا  تحت رحمة القطاع الخاص ماذا ستكون حالنا ، ونحن نرى الغرب يتهاوى أمامنا؟	no					no	no
24	مسائكم أخبار جميلة عن #كورونا 40 ثانية فقط من صاحب مبادرة تجميع العلماء لإيجاد علاج ضد #كرونا يعلنها على الهواء مباشرة أن فريق كامل من ضمنهم طبيب فرنسي اسمه “راولت” اكتشفوا أن دواء الملاريا هو الذي يعالج #كورونا_الجديد بنسبة 100% وتم تجربته على 40 مريض #ترجمات_عبدالله_الخريّف URL	yes	yes	yes	yes	yes	yes	yes
25	لن يسجّل التاريخ أنك حاتم الطائي إذا أقمت وليمة وسط أزمة #كورونا...  تعليق العمرة إيقاف الجمعة والجماعة في المساجد تأجيل جلسات مجلس الوزراء أسبوعين  إغلاق الأجواء والمنافذ والرحلات الداخلية.  من أنت أمام كل هذا لتكسر قيود التحذيرات وتخرج؟ لن يعرفك العالم بكرمك وعاداتك، بل بأذاك.	yes	no	yes	no	no	no	no
26	بوتيرة الإستهتار من البعض - حتى ولو كانوا قلّة- قد يصاب لا قدّر الله الآلاف في وقت واحد.. ومن المعلوم أنه في حالات كورونا المتقدمة يحتاج الشخص الى جهاز تنفس وعناية مركزة .. كيف يمكن لأي دولة أن توفر ذلك في وقت واحد .. سيما أن غرف العناية محتاجوها كثر لأمراض خطيرة متعددة.. اقعدوا!	yes	no	yes	no	yes	no	no
27	الحمد لله الذي بنعمته تتم الصالحات.  تم بحمد الله اليوم شفاء 5 حالات من المصابين بفيروس كورونا المستجد، ليبلغ عدد الذين تم شفاؤهم 27 حالة. نرجو الله الشفاء للمرضى والسلامة للجميع.	yes	no	yes	no	no	no	no
28	بشرى..  ولله الحمد والمنة مركز الملك عبدالله العالمي للأبحاث الطبية  توصل إلى لقاح خاص بفيروس #كورونا_الجديد  والنتائج إيجابية بفضل من الله وحده..  وقريبا سيعلن عنه… URL	yes	yes	yes		yes	yes	yes
29	كل قنوات العالم مشغولة بكورونا وتستضيف المختصين على مدار اليوم للحديث عنه وعن كيفية مواجهته إلا الجزيرة مشغولة بالسعودية وقيادتها وتستضيف سعد الفقيه يوميًا للحديث عن ذلك .. المضحك أنهم يناقشون الصعوبات الإقتصادية التي ستواجهها السعودية جراء كورونا وكأن العالم بأسره لا يواجه ذلك🤮	yes	no	yes	yes	yes	no	yes
30	عاجل..  .  الصحة:  قد نلجأ إلى حظر التجول في حال رصد تهاون في الاجراءات.  .  #المملكة #كورونا  .	no					no	no
31	الأذان يُرفع من مسجد البيّازين، في مدينة #غرناطة الأندلسية، يوم الأحد، لأول مرة منذ سقوط المدينة، آخر ممالك الأندلس، قبل 528 عاماً (في 2 كانون الثاني/يناير 1492)، وحظْر الأذان فيها. بعض المسلمين في عدد من الأحياء رفعوا الأذان من شرفات منازلهم، وكان يوماً مشهودا. #كورونا URL	yes	no	yes	no	yes	no	no
32	كوكب الأرض بسبب فايروس كورونا الان هو في قمة النشاط و السعادة، حيث لوحظ انحسار كبير في نسبة الغازات الملوثة والغازات المسببة للاحتباس الحراري في أغلب دول العالم نتيجة تأثيرات انتشار الفيروس على الأعمال وحركة السفر والتنقل، و ان نسبة غاز أول أكسيد الكربون قد انخفضت بنسبة 50% ❤🌍 URL	yes	yes	yes	yes	yes	yes	yes
33	#Important  #Coronavirus طبيبان مصريان يعملان في إنجلترا يشاركون خبرتهم مع زملائهم في #مصر  ويلحان على أهمية أن تكون مصر مستعدة للتعامل مع مصابين الفيروس #مهم URL	yes	no	yes	no	no	no	no
34	طيب هذي دعواتهم	no					no	no
35	تم بحمد الله اليوم شفاء ٣حالات من المصابين بفيروس كورونا المستجد. ليبلغ عدد الذين تم شفاؤهم ٣٠ حالة.  اللهم تمم على جميع المرضى بعاجل الشفاء.	yes	no	yes	no	no	no	no
36	عاجل..  .  وزارة الداخلية:  من يخالف أمر منع التجول يعاقب بغرامة 10 آلاف ريال وتضاعف في حال التكرار فإن عاد المخالف إلى ارتكاب المخالفة فيعاقب بالسجن لمدة لا تزيد على 20 يوماً.  . #كورونا #السعودية #منع_التجول	yes	no	yes	no	no	no	no
37	#الصحة تعلن عن تسجيل (٥١) حالة إصابة جديدة بفيروس #كورونا الجديد(كوفيد١٩). URL	yes	no	yes	no	no	no	no
38	شكر خاص ل المملكة العربية السعودية🇸🇦 التي نقلت إمدادات  USERID الحيوية الخاصة ب #COVID19 جواً إلى #اليمن. تشمل الشحنة معدات الحماية الشخصية للعاملين الصحيين واختبارات الفحص المختبري في عدن وصنعاء وأيضا أدوية الصدمة ومستلزمات لدعم الاستجابة المستمرة للأزمة #الصحة_للجميع_وبالجميع URL	yes	no	yes	no	yes	no	no
39	بعد كل الإجراءات الاحترازية التي تقوم بها حكومة #المملكة للحد من انتشار #كورونا . . . هل تؤيد فرض #حظر_تجول في #السعودية من الساعة (٧م) إلى الساعة (٧ص) ابتداء من يوم غدٍ السبت بسبب #كورونا_السعودية. . . - نعم أُوَيد ( #ريتويت ) ، ولماذا ؟ - لا أُوَيد ( #إعجاب ) ، ولماذا ؟ . . URL	no					no	no
40	عاجل:  . تعليق جميع رحلات الطيران الداخلي بالسعودية والحافلات وسيارات الأجرة والقطارات لمدة 14 يوماً ابتداءً من الساعة السادسة صباحاً من يوم غدٍ السبت. . #السعودية #المملكة #كورونا	yes	no	yes	no	no	no	no
41	بطاقم سعودي كامل من الدخول من الباب الى الخروج منه . السعودية سوف تعلن عن لقاح فايروس #كورونا #Covid_19 قريب جداً بعد عدت تجارب وتكللت بالنجاح.  الحمدلله كما ينبغي لجلال وجهك وعظيم سلطانك URL	yes	yes	yes	yes	yes	yes	yes
42	"#فيديو 🔴 .  . الإعلامي السعودي “أحمد المالكي” يوجه رسالة شديدة اللهجة إلى #البنوك: باقي أنتم وين مبادراتكم للوطن والمواطن؟، مؤكداً “إذا كان المال أكبر اهتماماتكم فلن ينسى كل المواطنين خذلانكم"". . . #البنوك_تأجل_الأقساط #مبادرة_البنوك #تجار_الظروف #تم_تامرون_أمر #كورونا  . URL"	yes	no	yes	no	no	no	no
43	اذا تعرف في #جدة رب أسرة عاطل عن العمل ومحتاج أو توقف عمله بسبب جائحة #كورونا أو أسرة بلا عائل ولا يوجد لديها دخل ، سعوديين أو مقيمين ، أكرمني وتفضل علي ببياناتهم على الخاص ، وأسأل الله ان يكتب ما فيه الخير والسداد ويخلص النوايا لوجهه الكريم  #تكفون_اقعدوا_في_بيوتكم #يوم_الجمعة URL	no					no	no
44	كوفيد ١٩ برو ماكس	no					yes	yes
45	فيديو معبر 🔴 .  . #شاهـد “رجل أمن” يوجه نصيحة هامة لشبان خرجوا في رحلة برية متجاهلين التحذيرات المتكررة بضرورة الإلتزام بتعليمات السلامة والبقاء في المنزل. . . #تكفون_اقعدوا_في_بيوتكم #السعودية #هام #كارونا_السعوديه #Covid_19 #COVID19 #حظر_تجول_اجباري_ينقذنا #الحجر_المنزلي  . . URL	yes	no	yes	no	no	no	no
46	عاجل 🚨  الصين تعلن أن كل المتعافين الذكور من فايروس كورونا أصيبوا بعجز جنسي كامل..! ويأتي ذلك بسبب ارتفاع درجة السخونة الذي أدى إلى تلف الخصوبة لدى الرجال. URL	yes	yes	yes	yes	yes	yes	yes
47	الحمد لله حمداً كثيرا مباركا فيه.  تم بحمد الله اليوم شفاء ٤ حالات من المصابين بفيروس كورونا المستجد. ليبلغ عدد الذين تم شفاؤهم ٢٢ حالة.  اللهم تمم على جميع المرضى بعاجل الشفاء	yes	no	yes	no	no	no	no
48	عاجل 🔴  .  .  متحدث وزارة الصحة:  الفترة القادمة سوف تشهد ارتفاعاً في الحالات المصابة بفيروس كورونا على مستوى العالم .. وقد نلجأ إلى حظر التجول في حال رصد تهاون في الإجراءات الاحترازية. .  . #السعوديه	yes	no	yes	no	no	no	no
49	قمت بترجمة مقطع هو حديث العالم اليوم حول علاج #كورونا، عبارة عن عقار تم استخدامه لعلاج ٤٠ مصاب بالفايروس في فرنسا وكانت نسبة شفاء ١٠٠٪، رسائل الأمل جميلة في هذه الأزمة #ترجمة_لبيب URL	yes	yes	yes	yes	yes	yes	yes
50	تغريدة للذكرى: لأول مرة في المملكة العربية السعودية الأن ساعة ٧:٠٠م اليوم الأثنين 28 رجب 1441هـ الموافق 23 مارس 2020م حظر جزئي وكلنا سمعاً وطاعة السبب: فايروس كورونا للحد من أنتشاره وسنتجاوز كل هذا معاً المدة: ٢١يوماً اللهم احفظ خادم الحرمين الشرفين وولي عهد ومملكتنا الحبيبة يارب	no					no	no
51	على ماذا أقسم الشيخ؟  ملاحظة: كلامه قبل أزمة #كورونا ! URL	no					no	no
52	التفتَ الإمام إلى جموع المصلّين ليقول لهم: (استووا، اعتدلوا) فلم يجدهم!. فقالها بصوتٍ خافتٍ باك.. ثُمّ كبّر للصلاة بيدين ترجفان، وعينين تفيضان من الدمع. #المسجد_النبوي_الشريف #الشيخ_أحمد_طالب_حميد #كورونا URL	no					no	no
53	🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴 مقاومة وباء كورونا المستجد مسؤولية مجتمعية مشتركة تبدأ عند المسؤول وتنتهي عند المواطن والمقيم، فلا قيمة لأي إجراء أو فائدة إن لم يقابل بالتطبيق الجدي من قبل الأخوة المواطنين والمقيمين على السواء. 🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴	no					no	no
54	في الأزمات، تظهر حقيقة المجتمعات .. #COVIDー19 #Covid_19 #Corona #coronavirus URL	no					no	no
55	فيروس كورونا هو فيروس صحي .. وفيروس اقتصادي .. وفيروس سياسي أيضا ... ونقول لكافة دول العالم .. هذا وقت التوحد والتعاون والتكاتف لمحاربة أهم عدو للبشرية .. الخلافات جميعها تصغر أمام هذا التحدي الجديد..والعالم يستطيع التغلب بشكل أسرع عليه إذا وقف القوي مع الضعيف والغني مع الفقير . URL	no					no	no
56	لا تشيل هم الطلعة   #خليك_في_البيت 🏡  #بالتقنية_توصل_للبيت 📱  #فيروس_كورونا URL	no					no	no
57	#خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. URL #واس_عام URL	yes	no	yes	no	no	no	no
58	وبذلك يصبح العدد الإجمالي لحالات فيروس كورونا الجديد في المملكة (٣٩٢)، تعافت (٨) حالات إضافية، ليكون إجمالي الحالات المتعافية (١٦) حالة بحمد الله،  والحالات المتبقية معزولة صحيًا وتتلقى العناية الطبية اللازمة.	yes	no	yes	no	no	no	no
59	استنادًا إلى أمر خادم الحرمين الشريفين - حفظه الله - القاضي بمنع التجول للحد من انتشار فيروس كورونا الجديد لمدة 21 يوما، تود الوزارة إيضاح الاستثناءات المتعلقة بمنع التجول. URL	yes	no	yes	no	no	no	no
60	التزامنا بالتعليمات طريقنا بتوفيق الله لحماية بلادنا و اهلنا من وباء كورونا  ليس لنا عذر فالكل يعرف دوره و مسئوليته حفظ الله بلادنا و ادام عزها 🇸🇦🇸🇦🇸🇦  #كلنا_مسؤول  #السعودية URL	no					no	no
61	فايروس #كورونا كشف المثاليات الزائفة هذا المقطع يجسد كل معاني العنصرية والتمييز نهديه لتلك المنظمات التي صدعت رؤوسنا بالدفاع عن حقوق الإنسان حالهم الأن 🙈 🙉 🙊 (الحمدلله على نعمة #السعودية) URL	no					no	no
62	رسالة إلى المستهترين بالتعليمات الصحية المتعلقة بفيروس كورونا URL	no					no	no
63	الجيش الايطالي ينقل جثث ضحايا كورونا بدون وداع  URL	yes	no		yes	yes	yes	yes
64	عاجل..  .  وزارة الصحة:  قللوا من التواصل والمخالطة حتى داخل منازلكم .. لا تفقدوا أحبابكم.  .  #كورونا #السعودية #المملكة #الصحة	yes	no	yes	yes	no	no	no
65	اللهم اشفهم وارفع عنهم واشف المصابين في تركيا وفي كل مكان .. لاداعي لأن أقول أن فوق ال70 من 119 هم أتراك تم التعامل معهم كما نتعامل مع السعوديين بكل اهتمام ورعاية.. وفي نفس الوقت من الضروري أن أقول وأعتذر لتخفيف اللفظ.. أنتم وكالة حقيرة وخسيسة	no					no	no
66	فيديو 🔴 .  . بكلمات من قلب صادق ..  شاهد رجل أمن يوجه نصيحة أبوية لمجموعة من الشباب خرجوا في رحلة برية متجاهلين التحذيرات المتكررة. .  . فيروس كورونا  . URL	yes	no	yes	no	no	no	no
67	شفاء 4 حالات من المصابين بفيروس كورونا المستجد، ليصبح عدد المتعافين 43 حالة. حمى الله الجميع من كل شر	yes	no	yes	no	no	no	no
68	كورونا لما يشوف اللي بيحصل في اسكندريه URL	no					no	no
69	مترجم حصريا | هذه هي رسالة الطاقم الطبي اﻹسباني لكل العالم... ابقوا في منازلكم!!  #كورونا #COVID19 URL	yes	no	yes	no	no	no	no
70	"بعد قرار #منع_التجول بسبب #كورونا .. السعوديون: “سمعاً وطاعة سيدي"". . . كرماً؛ مشاركة الجميع بالمنشن بكلمة #سمعا_وطاعه مع #ريتويت للأهمية ليشارك الجميع. . . . #منع_تجول #حظر_جزيي #هام #السعودية #حظر_التجول_بالسعودية #امر_ملكي #وزارة_الداخلية #الزم_بيتك #حظر_التجوال #حظر_تجول  . URL"	no					no	no
71	#كورونا حيعدي ويصير جزء من التاريخ بس أهم شيء علموا أولادكم أن السعودية باعت كل شيء واشترتنا  #حظر_التجول_في_السعودية	no					no	no
72	عاجل 🔴 . .  #خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م.	yes	no	yes	no	no	no	no
73	#عاجل متحدث الصحة: تسجيل 48 إصابة جديدة بفيروس كورونا وإجمالي الحالات يصل إلى 392 حالة. #واس_عام	yes	no	yes	no	no	no	no
74	طبيب تخدير كندي عبقري ... يدخل تعديلات على جهاز التنفس الصناعي بحيث يجعله يقوم بعمل 9 اجهزة تنفس صناعي ويستوعب 9 مرضى ... بما يضاعف امكانيات المستشفى في استقبال حالات فيروس #كورونا الى 9 اضعاف.    URL	yes	no	yes	no	yes	no	yes
75	عاجل..  .  وزارة الصحة:  تسجيل ١١٩ حالة جديدة بفيروس كورونا.  .  #السعودية #كورونا	yes	no	yes	no	no	no	no
76	قد يصيبك كورونا وأنت لا تعلم.. لذا نقول #خلك_بالبيت واحمِ نفسك من العدوى. #كلنا_مسؤول URL	no					no	no
77	تصويت ..  هل تؤيد فرض حظر التجول للوقاية من انتشار فيروس كورونا  ؟.  نعم : ريتويت  لا : مفضلة	no					no	no
78	مهم : الفرق ما بين الكمامة الطبية الاصلية و غيرها و طريقة لبسها الصحيح   #كورونا URL	yes	no	yes	no	yes	no	no
79	عاجل:  الآن.. انتهاء فترة #منع_التجول في يومه الأول، بالتزام وتعاون كامل من المواطن والمقيم. . #السعودية #كورونا	yes	no	yes	no	no	no	no
80	سمعاً وطاعة نثق بالله ثم بكم.. لتجاوز أزمة #كورونا URL	no					no	no
81	متحدثة التعليم:  اختبارات نهاية العام الدراسي في موعدها في شهر رمضان المبارك.(ياهلا)  #التعليم #الاختبارات #كورونا	yes	no	yes	no	yes	no	no
82	أتابع عن كثب و علي مدار الساعة إجراءات الدولة الإحترازية لمواجهة إنتشار فيروس كورونا ... وكما وعدتكم بالأمس نحن مستمرون في إجراءاتنا بكل دقة في مكافحة هذا الوباء حفاظاً علي صحة و حياة كل مواطن مصري.١/٢	yes	yes	yes	no	yes	yes	no
83	متخيلين كل دي ناس ماتت ، كل دي ناس كان ليها حياتها وناس بتحبها و ذكرياتها و حياتها كانت ماشيه تمام في ثانيه و بسبب استهتارهم ماتوا ، من فضلكوا يجماعه خلوا بالكوا من نفسكوا و خليكوا في بيتكوا اكيد مش هتحبوا تخسروا حياتكم او حد بتحبوه .	yes	no		yes	no	yes	no
84	من داخل أحد فنادق الحجر الصحي في الرياض النجم #عبدالله_عطيف  وكثير من التفاصيل يمررها بمهارته المعهودة  #الحجر_المنزلي  #فيروس_كورونا  #خليك_في_البيت URL	no					no	no
85	#خادم_الحرمين_الشريفين يصدر أمره بمنع التجول للحد من انتشار #فيروس_كورونا الجديد ابتداءً من الساعة الـ 7 مساءً وحتى الساعة الـ 6 صباحًا لمدة ( 21 ) يومًا من مساء يوم الأثنين 28 رجب 1441هـ، الموافق 23 مارس 2020م. URL #واس_عام URL	yes	no	yes	no	no	no	no
86	ألا ليت هذا المقطع القصير يلج إلى كل جهاز، فتسمعه كل أذن، ويعيه كل قلب.. #فيروس_كورونا URL	no					no	no
87	عاجل 🔴  .  . في خبر مُبشر و مُطمئن لسكان العالم ..  النمسا تعلن نجاح تجارب دوائين تخفف عدوى وأعراض فيروس كورونا بنسبة 90% .  .  . النمسا	yes		yes		yes	yes	yes
88	السؤال الثالث من مسابقة #عنايه_Vs_كورونا1 مشاركتك في المسابقة دليل وعيك الثقافي .. فهدفنا تعزيز التوعية الصحية عن وباء كورونا [١٠٠٠ريال] ربمايكون لك منهانصيب💵 URL… اجب عن السؤال المرفق أدناه👇🏻 URL	no					no	no
89	سيذكر التاريخ أقوال القادة خلال أزمة فيروس كورونا ..  فقد بثت كلمات الملك سلمان في نفوس شعبه الثقة والطأنينة .. عندما قال:  “سنبذل الغالي والنفيس للمحافظة على صحة الإنسان وسلامته “.  بينما رئيس وزراء بريطانيا أثار الرعب والخوف في نفوس شعبه ..عندما قال:  “ استعدوا لفراق أحبائكم “. URL	no					no	no
90	سلمت على واحد وبعدين شديت ايدي بسرعة  فيروس كورونا : URL	no					no	no
91	الحيوانات تغزو المدن بعد تطبيق إجراءات حظر التجوال للوقاية من فيروس كورونا حول العالم، صور من ايطاليا و اليابان و جزيرة سردينيا .. URL	yes	yes		yes	yes	yes	yes
92	التقرير اليومي لفيروس #كورونا الجديد محليًا وعالميًا. URL	no					no	no
93	عميلكم المتمرد هو #الوباء_العام في وطني ، انه أخطر على شعبنا من #كورونا  USERID URL	no					no	no
94	في مدينة قونيا في تركيا وضعت المواد الغذائية فى الشارع وبامكان المحتاج ان ياخذ ما يريد دون ان يراه احد او يلاحقه التصوير سنّة حسنة لا تحرج الفقير أو المحتاج و يتخفى وراءها الغنى وتعلى قيمة التكافل فى المجتمعات فهذا وقت التكافل وليس الأنانية #فيروس_كورونا URL	yes	no	yes	no	yes	no	no
95	السؤال الثاني من #مسابقة_عنايه_Vs_كورونا مشاركتك في المسابقة دليل وعيك الثقافي .. فهدفنا تعزيز التوعية الصحية عن وباء كورونا [١٠٠٠ريال] ربمايكون لك منها نصيب💵 URL… اجب عن السؤال المرفق أدناه👇🏻 URL	no					no	no
96	#وزارة_الصحة تُعلن تسجيل 70 حالة إصابة جديدة بـ #فيروس_كورونا المستجد، وتُهيب بالجميع الالتزام بالإرشادات والتوجيهات؛ حفاظا على سلامتهم وسلامة المجتمع. #واس_عام URL	yes	no	yes	no	no	no	no
97	الصين أخفت #كورونا عن العالم لأسابيع، واعتقلت ووبخت الطبيب الذي حذر من الفايروس والآن ترسل خبراءها لنقل تجربة القضاء عليه؟ السمعة التصقت بها أنها مصدر الوباء، لو كاشفت العالم من البداية أفضل من إرسال خبراء لتخفيف عدد الموتى. لا تصلح الصين ما أفسده “كورونا” !	yes	yes	yes	yes	yes	yes	yes
98	#كلنا_بالبيت_لاجل_السعوديه يجب إتباع تعليمات وزارة الصحة ممثلة بحكومتنا الرشيدة فالموضوع أصبح يشكل خطر كبير على مجتمعنا كورونا الجديدة وباء عالمي ولكن بتكاتف أبناء وبنات وطننا الغالي يمكننا بحول الله القضاء عليه فلا تتهاونوا بالموضوع أبدا 🇸🇦	no					no	no
99	كلمة سيدي #خادم_الحرمين_الشريفين تؤكد حرص القيادة -حفظها الله- على تسخير كل ما يحقق رفعة الوطن وسلامة المواطن والمقيم، ونبذل في وزارة التعليم قصارى جهدنا للتكامل مع كل الجهود الوطنية العظيمة للتصدي لفيروس #كورونا من خلال الجامعات وإدارات التعليم. حفظ الله الوطن وقيادته وأدام عزه. URL	yes	no	yes	no	no	no	no
100	أمير قطر يطلب من الولايات المتحدة ودول أخرى تنفيذ وعودها بالضغط على السعودية لإنهاء المقاطعة وإيجاد حل للأزمة نظير احتضان الدوحة لإتفاق المصالحة بين طالبان وأمريكا. - تعليق: دول العالم أجمع مشغولة بكيفية القضاء على كورونا وإعلام الدوحة مشغول بالسعودية! نسأل الله العافية والسلامة	yes	yes		yes	yes	no	no
101	استشعاراً لواجبي الوطني .. أشارككم هذه العبارات التوعوية من أفكاري وتنفيذي .. أسأل الله أن يحمي بلادنا وجميع بلاد المسلمين من كل مكروه وأن يزيل عنّا هذا الوباء إنه على كل شي قدير  #كلنا_مسؤول #فيروس_كورونا URL	no					no	no
